STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725053,94728, 20130101,   37.8,24,   23.6,24, 1011.9,24, 1006.9,24,  10.0,24,   6.1,23,   8.9,  19.0,   39.9 ,  33.1 , 0.00G,999.9, 000000,
725053,94728, 20130102,   27.1,24,   10.5,24, 1016.8,24, 1011.8,24,  10.0,24,   5.3,21,   9.9,  19.0,   33.1 ,  21.9 , 0.00G,999.9, 000000,
725053,94728, 20130103,   28.4,24,   14.1,24, 1020.6,24, 1015.6,24,  10.0,24,   3.7,22,   8.0,  15.0,   32.0 ,  24.1 , 0.00G,999.9, 000000,
725053,94728, 20130104,   33.4,24,   18.6,24, 1017.0,24, 1012.0,24,  10.0,24,   6.5,22,  13.0,  24.1,   37.0 ,  30.0 , 0.00G,999.9, 000000,
725053,94728, 20130105,   36.1,24,   18.7,24, 1020.6,24, 1015.6,24,  10.0,24,   6.6,24,  12.0,  21.0,   42.1 ,  32.0 , 0.00G,999.9, 000000,
725053,94728, 20130106,   38.3,24,   25.0,24, 1019.5,22, 1014.6,24,   8.5,24,   5.3,22,   8.9,  17.1,   46.0 ,  34.0 , 0.00G,999.9, 000000,
725053,94728, 20130107,   40.9,24,   23.8,24, 1022.6,24, 1017.6,24,  10.0,24,   5.7,22,  11.1,  17.1,   45.0 ,  37.0 , 0.00G,999.9, 000000,
725053,94728, 20130108,   40.7,24,   25.4,24, 1028.5,24, 1023.5,24,   9.3,24,   5.1,22,   8.9,  22.0,   48.0 ,  35.1 , 0.00G,999.9, 000000,
725053,94728, 20130109,   43.8,24,   30.8,24, 1026.3,24, 1021.3,24,   7.8,24,   3.7,23,   9.9,  15.9,   48.9 ,  39.0 , 0.00G,999.9, 000000,
725053,94728, 20130110,   44.3,24,   25.4,24, 1028.5,24, 1023.6,24,   9.9,24,   5.9,22,  11.1,  19.0,   48.0 ,  39.9 , 0.00G,999.9, 000000,
725053,94728, 20130111,   40.5,24,   27.1,24, 1030.4,23, 1025.1,24,   9.4,24,   4.5,24,   7.0, 999.9,   44.1 ,  37.0 , 0.00G,999.9, 010000,
725053,94728, 20130112,   44.6,24,   43.0,24, 1020.5,15, 1015.4,24,   3.9,24,   3.5,24,   7.0, 999.9,   46.9 ,  42.1 , 0.57G,999.9, 010000,
725053,94728, 20130113,   45.3,24,   43.1,24, 1019.7,11, 1014.7,24,   4.2,24,   2.9,24,   8.0, 999.9,   48.9 ,  43.0 , 0.02G,999.9, 100000,
725053,94728, 20130114,   52.5,24,   45.4,24, 1016.8,10, 1012.7,24,   5.9,24,   3.9,23,   8.9,  15.9,   72.0 ,  48.0 , 0.00G,999.9, 100000,
725053,94728, 20130115,   37.9,24,   27.9,24, 1025.5,18, 1020.4,24,   9.7,24,   5.7,23,  11.1,  14.0,   50.0 ,  35.1 , 0.09G,999.9, 010000,
725053,94728, 20130116,   34.2,24,   30.0,24, 1018.6,18, 1012.7,24,   5.4,24,   4.6,24,  12.0,  14.0,   37.9 ,  32.0 , 0.63G,999.9, 011000,
725053,94728, 20130117,   39.2,24,   28.0,24, 1015.6,23, 1010.5,24,   9.7,24,   4.9,24,   8.0,  15.9,   43.0 ,  36.0 , 0.09G,999.9, 000000,
725053,94728, 20130118,   30.2,24,   12.2,24, 1024.4,24, 1019.4,24,  10.0,24,   5.7,23,   9.9,  20.0,   39.9 ,  25.0 , 0.00G,999.9, 000000,
725053,94728, 20130119,   37.3,24,   18.1,24, 1024.7,24, 1019.7,24,  10.0,24,   7.8,21,  13.0,  24.1,   51.1 ,  28.0 , 0.00G,999.9, 000000,
725053,94728, 20130120,   45.3,24,   23.4,24, 1009.8,24, 1004.9,24,  10.0,24,   9.7,24,  15.9,  31.1,   53.1 ,  39.9 , 0.00G,999.9, 000000,
725053,94728, 20130121,   29.8,24,    9.3,24, 1016.1,24, 1011.1,24,  10.0,24,   5.1,24,  11.1,  22.9,   39.9 ,  26.1 , 0.00G,999.9, 000000,
725053,94728, 20130122,   22.4,24,    4.0,24, 1014.4,24, 1009.4,24,   9.9,24,   8.4,22,  14.0,  25.1,   30.9 ,  17.1 , 0.00G,999.9, 000000,
725053,94728, 20130123,   14.4,24,   -5.4,24, 1022.5,24, 1017.4,24,  10.0,24,   7.7,24,  11.1,  24.1,   19.9 ,  10.9 , 0.00G,999.9, 000000,
725053,94728, 20130124,   16.8,24,   -1.7,24, 1023.0,24, 1017.8,24,  10.0,24,   6.7,23,  15.0,  27.0,   21.9 ,  12.0 , 0.00G,999.9, 000000,
725053,94728, 20130125,   17.1,24,    1.5,24, 1027.5,23, 1022.0,24,   9.3,24,   6.1,24,  11.1,  22.0,   24.1 ,  12.9 , 0.00G,999.9, 001000,
725053,94728, 20130126,   19.9,24,    9.2,24, 1019.8,23, 1014.5,24,   9.0,24,   5.7,22,   9.9,  15.0,   26.1 ,  15.1 , 0.07G,999.9, 001000,
725053,94728, 20130127,   24.5,24,    7.5,24, 1030.3,24, 1025.2,24,  10.0,24,   5.6,24,   9.9,  15.9,   34.0 ,  19.0 , 0.00G,  2.0, 000000,
725053,94728, 20130128,   31.8,24,   19.0,24, 1029.1,19, 1022.2,24,   6.9,24,   3.5,23,   8.9,  18.1,   34.0*,  28.9*, 0.00G,  1.2, 011000,
725053,94728, 20130129,   40.3,24,   35.3,24, 1018.2,19, 1013.2,24,   5.3,24,   4.3,18,   8.0,  14.0,   48.0*,  34.0*, 0.22G,  1.2, 010000,
725053,94728, 20130130,   45.7,24,   42.9,24, 1010.2,14, 1007.4,24,   3.5,24,   3.6,24,   8.9, 999.9,   59.0 ,  39.0 , 0.06G,999.9, 110000,
725053,94728, 20130131,   49.1,24,   36.5,24,  995.4,21,  989.6,24,   7.9,24,   9.1,21,  20.0,  38.1,   61.0 ,  34.0 , 0.93G,999.9, 110000,
725053,94728, 20130201,   29.3,24,    9.5,24, 1010.9,24, 1006.0,24,  10.0,24,   8.4,21,  14.0,  28.9,   34.0 ,  26.1 , 0.01G,999.9, 000000,
725053,94728, 20130202,   24.1,24,    6.5,24, 1022.7,24, 1017.7,24,  10.0,24,   6.3,21,  12.0,  19.0,   28.9 ,  19.0 , 0.00G,999.9, 000000,
725053,94728, 20130203,   26.5,24,   18.0,24, 1013.2,19, 1008.7,24,   7.6,24,   2.6,22,   7.0, 999.9,   30.0 ,  24.1 , 0.03G,999.9, 001000,
725053,94728, 20130204,   26.8,24,   10.5,24, 1012.0,24, 1007.0,24,   9.8,24,   6.2,21,  12.0,  28.0,   30.0 ,  23.0 , 0.02G,999.9, 000000,
